ICODE,ITEM_EXTINCT
BM68066,Non Extinct
BM63158,Non Extinct
BM67369,Non Extinct
BM67371,Non Extinct
BM41665,Non Extinct
BM45638,Non Extinct
BM44849,Non Extinct
BM62976,Non Extinct
BM62843,Non Extinct
BM52106,Non Extinct
BM52108,Non Extinct
BM54706,Non Extinct
BM54500,Non Extinct
BM54881,Non Extinct
BM66103,Non Extinct
BM52109,Non Extinct
BM50892,Non Extinct
BM48103,Non Extinct
BM3583,Extinct
BM44212,Non Extinct
BM45968,Non Extinct
BM53228,Non Extinct
BM53229,Non Extinct
BM48361,Non Extinct
BM48290,Non Extinct
BM48291,Non Extinct
BM55052,Non Extinct
BM55053,Non Extinct
BM55054,Non Extinct
BM9056,Extinct
BM4573,Non Extinct
BM4575,Non Extinct
BM4577,Non Extinct
BM56379,Non Extinct
BM47198,Extinct
BM54935,Extinct
BM55374,Non Extinct
BM46175,Non Extinct
BM67738,Non Extinct
BM67739,Non Extinct
BM1052,Non Extinct
BM1051,Non Extinct
BM46177,Non Extinct
BM54222,Non Extinct
BM1326,Non Extinct
BM54929,Non Extinct
BM1328,Non Extinct
BM55268,Non Extinct
BM1046,Non Extinct
BM55027,Non Extinct
BM55028,Non Extinct
BM2148,Non Extinct
BM54931,Non Extinct
BM4281,Non Extinct
BM4263,Non Extinct
BM9932,Non Extinct
BM3893,Non Extinct
BM4290,Non Extinct
BM4305,Non Extinct
BM63570,Non Extinct
BM61622,Non Extinct
BM54994,Non Extinct
BM41674,Non Extinct
BM66975,Non Extinct
BM21032,Non Extinct
BM14974,Non Extinct
BM14981,Non Extinct
BM62830,Extinct
BM62837,Extinct
BM66078,Non Extinct
BM22686,Non Extinct
BM55324,Non Extinct
BM59817,Non Extinct
BM63975,Non Extinct
BM21043,Non Extinct
BM63976,Non Extinct
BM1322,Non Extinct
BM1323,Non Extinct
BM1060,Non Extinct
BM56359,Non Extinct
BM1061,Non Extinct
BM56378,Non Extinct
BM49698,Non Extinct
BM66233,Non Extinct
BM1325,Non Extinct
BM1358,Non Extinct
BM53328,Non Extinct
BM4481,Non Extinct
BM62893,Non Extinct
BM52041,Non Extinct
BM9046,Extinct
BM52049,Non Extinct
BM4268,Non Extinct
BM4269,Non Extinct
BM67824,Non Extinct
BM4298,Non Extinct
BM4297,Non Extinct
BM50705,Non Extinct
BM49721,Non Extinct
BM57460,Non Extinct
BM44549,Non Extinct
BM44550,Non Extinct
BM44551,Non Extinct
BM68336,Non Extinct
BM68339,Non Extinct
BM54623,Non Extinct
BM48839,Extinct
