ITEM_NAME,ICODE,BARCODE,DEPARTMENT,CAT5(MOQ),DIVISION,SECTION,ITEM_EXTINCT
LONG BEANS(D) FRUITS   1 ,BM20107,7085,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
FRENCH BEANS/NEPALI(D) VEGETABLES   1 ,BM20109,7087,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
CUCUMBER/LOCAL(D) VEGETABLES   1 ,BM20122,7100,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GINGER(D) FRUITS   1 ,BM20125,7103,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GHIRAUNLA(D) FRUITS   1 ,BM20099,7077,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
LEMON BIG FRUITS   1 ,BM20108,7086,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
CAULIFLOWER/LOCAL VEGETABLES   5 ,BM8922,1014,FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
SHORT BEANS(D) FRUITS   1 ,BM20037,7015,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
RAYO SAAG(D) FRUITS   1 ,BM20076,7054,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
DHANIYA PATTA(D) FRUITS   1 ,BM20079,7057,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ARABI(D) FRUITS   1 ,BM20083,7061,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ORGANIC LARGE LETTUCE FRUITS   1 ,BM20073,7051,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
TOMATO CHERRY(D) FRUITS   1 ,BM20044,7022,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
BAKULLA 1KG VEGETABLES 1KG  1 ,BM46194,8124,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
BAKULLA 500G VEGETABLES 500G  1 ,BM46195,8125,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PEELED GARLIC VEGETABLES   1 ,BM47337,8177,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
