Our list of product,,,,,,,,,,,oracele ko list,,
S.no,Product Name,Item Code,Barcode,asdasd,MOQ,Division,Department,Status,,,ITEM_NAME,ICODE,BARCODE
97,APPLE GOLDEN FRUITS 10,BM9012,2005,124,10,FRESH,LONG FRUITS,Active,,,I.L.D MANGO MALDA 2056,BM66199,147
98,RED APPLE USA FRUITS 5,BM9013,2006,122,5,FRESH,LONG FRUITS,Active,,,I.L.D. APPLE CHOCOLATE I.L.D   1 ,BM30451,9
99,APPLE RED FRUITS 1,BM9014,2007,#N/A,1,FRESH,LONG FRUITS,Active,,,FRUIT SALAD BOWL(D) FRUITS   1 ,BM20213,8080
100,GREEN APPLE USA FRUITS 1,BM9015,2008,118,1,FRESH,LONG FRUITS,Active,,,PAPAYA NEPAL(D) FRUITS   1 ,BM20161,8028
101,APPLE FRUITS 10,BM9016,2009,#N/A,10,FRESH,LONG FRUITS,Inactive,,,APPLE CHINA(D) FRUITS   1 ,BM20223,8090
102,PEARS CHINA FRUITS 10,BM9017,2010,104,10,FRESH,LONG FRUITS,Active,,,MANDARIN FRUITS   20 ,BM9053,2046
103,PEARS INDIA FRUITS 0,BM9018,2011,#N/A,0,FRESH,LONG FRUITS,Inactive,,,NIGRO/FRENCH SHOOT ORGANIC   1 ,BM13364,8140
104,PEARS NEPAL FRUITS 5,BM9019,2012,#N/A,5,FRESH,LONG FRUITS,Inactive,,,PEARS CHINA FRUITS   10 ,BM9017,2010
105,PEARS SOUTH AFRICA FRUITS 1,BM9020,2013,#N/A,1,FRESH,LONG FRUITS,Active,,,GRAPES WHITE FRUITS   1 ,BM9069,2062
106,PEARS FRUITS 1,BM9021,2014,#N/A,1,FRESH,LONG FRUITS,Active,,,I.L.D MANGO MALDA PREMIUM 2345,BM66198,258
107,STRAWBERRY NEPAL FRUITS 1,BM9022,2015,135,1,FRESH,SOFT FRUITS,Active,,,APPLE SHIMLA FRUITS   10 ,BM9008,2001
108,STRAWBERRY 2016 FRUITS 1,BM9023,2016,137,1,FRESH,SOFT FRUITS,Active,,,WATERMELON HALF    1 ,BM9076,2069
109,LITCHI NEPAL FRUITS 1,BM9025,2018,#N/A,1,FRESH,LONG FRUITS,Active,,,I.L.D. APPLE CHINA I.L.D   1 ,BM52192,8
110,LITCHI INDIA FRUITS 1,BM9026,2019,123,1,FRESH,LONG FRUITS,Active,,,KIWI FRUIT (CHILE) FRUITS   1 ,BM47338,8178
111,LITCHI FRUITS 2,BM9027,2020,141,2,FRESH,SOFT FRUITS,Active,,,FRUIT SALAD BOWL FRUITS   1 ,BM9108,2101
112,GUAVA NEPAL FRUITS 2,BM9028,2021,115,2,FRESH,LONG FRUITS,Active,,,SWEET MELON(D) FRUITS   1 ,BM20149,8016
113,GUAVA INDIA FRUITS 5,BM9029,2022,#N/A,5,FRESH,LONG FRUITS,Inactive,,,SWEET TAMARIND 250G FRUITS   1 ,BM12220,2106
114,GUAVA AUSTRALIA FRUITS 1,BM9030,2023,#N/A,1,FRESH,LONG FRUITS,Active,,,APPLE GOLDEN MANANG FRUITS   10 ,BM20206,8073
115,GUAVA FRUITS 0,BM9031,2024,#N/A,0,FRESH,LONG FRUITS,Inactive,,,GUAVA NEPAL FRUITS   2 ,BM9028,2021
116,CUSTARD APPLE/SARIFA/SITAFAL FRUITS 1,BM9032,2025,#N/A,1,FRESH,LONG FRUITS,Active,,,APPLE FUJI,BM29175,2300
117,PANIFAL 1,BM9033,2026,#N/A,1,FRESH,LONG FRUITS,Active,,,PREMIUM ORANGE NEPAL FRUITS   10 ,BM64537,2043
118,COCONUT WATER FRUITS 1,BM9035,2028,81,1,FRESH,LONG FRESH VEG,Active,,,GREEN APPLE USA FRUITS   1 ,BM9015,2008
119,PINEAPPLE INDIA FRUITS 1,BM9036,2029,90,1,FRESH,LONG FRUITS,Active,,,ORGANIC HALUWABED ORGANIC   2 ,BM14102,1124
120,PINEAPPLE NEPAL FRUITS 1,BM9037,2030,#N/A,1,FRESH,LONG FRUITS,Active,,,BEMARA FRUITS   1 ,BM58552,1145
121,PINEAPPLE 2032 FRUITS 1,BM9039,2032,96,1,FRESH,LONG FRUITS,Active,,,WATERMEON GREEN FRUITS   10 ,BM9074,2067
122,KIWI FRUIT NEPAL FRUITS 1,BM9040,2033,#N/A,1,FRESH,LONG FRUITS,Inactive,,,RED APPLE USA FRUITS   5 ,BM9013,2006
123,KIWI NEWZEALAND FRUITS 1,BM9041,2034,#N/A,1,FRESH,LONG FRUITS,Active,,,LITCHI INDIA FRUITS   1 ,BM9026,2019
124,KIWI AUSTRALIA FRUITS 1,BM9042,2035,#N/A,1,FRESH,LONG FRUITS,Active,,,APPLE GOLDEN FRUITS   10 ,BM9012,2005
125,KIWI FRUITS 1,BM9043,2036,#N/A,1,FRESH,LONG FRUITS,Active,,,APPLE JHOLE CHAINA FRUITS   10 ,BM13342,2111
126,POMEGRANATE RED INDIA FRUITS 5,BM9045,2038,127,5,FRESH,LONG FRUITS,Active,,,APPLE CHINA FRUITS   10 ,BM9009,2002
127,POMEGRANATE RED FRUITS 1,BM9046,2039,#N/A,1,FRESH,LONG FRUITS,Active,,,POMEGRANATE RED INDIA FRUITS   5 ,BM9045,2038
128,POMEGRANATE WHITE NEPAL FRUITS 1,BM9047,2040,#N/A,1,FRESH,LONG FRUITS,Active,,,MANGO DASHARI FRUITS   10 ,BM9065,2058
129,PREMIUM ORANGE NEPAL FRUITS 10,BM64537,2043,117,10,FRESH,LONG FRUITS,Active,,,GRAPES FLAME RED FRUITS   2 ,BM9070,2063
130,ORANGE INDIA FRUITS 10,BM9051,2044,#N/A,10,FRESH,LONG FRUITS,Inactive,,,MANGO MALDA FRUITS   10 ,BM9063,2056
131,ORANGE 2045 FRUITS 10,BM9052,2045,#N/A,10,FRESH,LONG FRUITS,Inactive,,,MANGO MALDA(D) FRUITS   1 ,BM20210,8077
132,MANDARIN FRUITS 20,BM9053,2046,102,20,FRESH,LONG FRUITS,Active,,,PAPAYA INDIA FRUITS   6 ,BM9055,2048
133,PAPAYA INDIA FRUITS 6,BM9055,2048,132,6,FRESH,SOFT FRUITS,Active,,,MANGO BOMBAY FRUITS   1 ,BM20229,8096
134,PAPAYA 1,BM9056,2049,#N/A,1,FRESH,LONG FRUITS,Active,,,MANGO ASSORTED    1 ,BM12094,2103
135,MAUSAM NEPAL 1,BM9057,2050,#N/A,1,FRESH,LONG FRUITS,Active,,,STRAWBERRY NEPAL FRUITS   1 ,BM9022,2015
136,MAUSAM INDIA FRUITS 5,BM9058,2051,86,5,FRESH,LONG FRUITS,Active,,,I.L.D KESHARI MANGO I.L.D   1 ,BM68605,100
137,BANANA NEPAL FRUITS 1,BM9060,2053,#N/A,1,FRESH,LONG FRUITS,Active,,,STRAWBERRY 2016 FRUITS   1 ,BM9023,2016
138,BANANA GREEN BIG FRUITS 12,BM9061,2054,45,12,FRESH,SOFT FRUITS,Active,,,MANGO MALDA PREMIUM FRUITS   1 ,BM63138,2345
139,BANANA SMALL FRUITS 12,BM9062,2055,46,12,FRESH,SOFT FRUITS,Active,,,I.L.D GRAPES GREEN I.L.D   1 ,BM68242,129
140,MANGO MALDA FRUITS 10,BM9063,2056,130,10,FRESH,SOFT FRUITS,Active,,,PLUMS RED FRUITS   5 ,BM9083,2076
141,MANGO DASHARI FRUITS 10,BM20238,2058,128,10,FRESH,SOFT FRUITS,Active,,,LITCHI FRUITS   2 ,BM9027,2020
142,MANGO GREEN FRUITS 1,BM9066,2059,#N/A,1,FRESH,LONG FRUITS,Active,,,KESHARI MANGO FRUITS   1 ,BM20156,8023
143,GRAPES GREEN FRUITS 5,BM9067,2060,144,5,FRESH,SOFT FRUITS,Active,,,GRAPES BLACK FRUITS   5 ,BM9068,2061
144,GRAPES BLACK FRUITS 5,BM9068,2061,143,5,FRESH,SOFT FRUITS,Active,,,GRAPES GREEN FRUITS   5 ,BM9067,2060
145,GRAPES WHITE FRUITS 1,BM9069,2062,105,1,FRESH,LONG FRUITS,Active,,,I.L.D MANGO DASHARI I.L.D   1 ,BM66186,456
146,GRAPES FLAME RED FRUITS 2,BM9070,2063,129,2,FRESH,SOFT FRUITS,Active,,,I.L.D MANGO ASSORTED I.L.D   1 ,BM68629,29
147,GRAPES AUSTRALIA FRUITS 1,BM9071,2064,#N/A,1,FRESH,SOFT FRUITS,Inactive,,,BEGAMFELLI  (MANGO) FRUITS   10 ,BM21898,2133
